id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
42,Male,Loyal Customer,49,Business travel,Business,2553,3,3,3,3,4,3,5,5,5,5,5,4,5,1,0,0,1
43,Female,Loyal Customer,55,Business travel,Business,749,1,1,1,1,3,4,5,5,5,5,5,4,5,3,0,0,1
44,Male,Loyal Customer,52,Personal Travel,Eco,1552,1,4,1,3,2,1,2,2,5,3,4,5,5,2,0,0,0
45,Male,Loyal Customer,34,Business travel,Business,2533,2,4,4,4,2,4,4,2,2,2,2,4,2,2,0,0,0
46,Male,Loyal Customer,20,Personal Travel,Eco,1541,1,4,1,4,3,1,3,3,3,3,4,5,5,3,0,0,0
47,Male,Loyal Customer,59,Business travel,Business,1615,2,1,5,1,4,4,3,2,2,2,2,2,2,3,0,0,0
48,Male,Loyal Customer,45,Business travel,Business,3393,5,5,5,5,3,4,5,5,5,5,5,5,5,3,0,3,1
49,Female,Loyal Customer,24,Personal Travel,Eco,2606,4,5,4,5,3,4,3,3,3,4,3,3,4,3,10,8,0
50,Male,Loyal Customer,47,Business travel,Eco,1935,1,5,5,5,1,1,1,1,2,1,2,3,2,1,7,4,0
51,Male,Loyal Customer,27,Personal Travel,Eco Plus,2802,4,3,4,3,5,4,5,5,2,1,4,4,3,5,0,0,0
52,Female,disloyal Customer,36,Business travel,Eco,1321,3,4,3,1,4,3,4,4,3,3,5,1,3,4,40,30,0
53,Female,Loyal Customer,61,Personal Travel,Eco,705,1,1,1,1,5,5,5,4,4,4,4,5,4,5,28,23,1
54,Male,Loyal Customer,21,Business travel,Business,2568,1,1,1,1,5,5,5,5,5,4,4,5,5,5,3,0,1
55,Female,Loyal Customer,15,Personal Travel,Eco Plus,2037,4,2,4,3,4,4,4,4,3,1,3,4,3,4,0,0,0
56,Female,Loyal Customer,57,Personal Travel,Eco,563,4,4,4,4,5,4,5,5,4,2,5,4,4,5,0,0,1
57,Female,disloyal Customer,44,Business travel,Business,2504,3,3,3,5,2,3,1,2,3,3,5,3,5,2,26,40,0
58,Female,disloyal Customer,22,Business travel,Eco,1834,1,5,1,3,5,1,5,5,3,5,5,4,4,5,0,16,0
59,Male,Loyal Customer,39,Business travel,Business,99,3,4,4,4,3,3,3,2,2,2,3,3,2,1,14,5,0
60,Female,Loyal Customer,59,Business travel,Eco,862,3,3,3,3,1,3,3,3,3,3,3,2,3,2,0,0,0
61,Male,disloyal Customer,36,Business travel,Eco,1619,2,3,2,2,2,2,2,2,1,1,3,3,2,2,0,1,0
62,Male,disloyal Customer,37,Business travel,Business,1533,1,1,1,3,3,1,3,3,3,3,4,4,4,3,4,0,0
63,Female,Loyal Customer,31,Business travel,Business,1374,1,3,4,4,4,4,1,4,1,1,3,4,3,4,81,71,0
64,Male,Loyal Customer,46,Business travel,Business,2945,3,3,3,3,4,4,5,3,3,4,3,3,3,4,0,0,1
65,Male,Loyal Customer,25,Personal Travel,Eco,1975,3,2,3,4,1,3,1,1,1,3,3,1,4,1,0,0,0
66,Female,disloyal Customer,25,Business travel,Eco,2539,4,4,4,4,4,4,5,4,1,3,3,2,3,4,0,0,0
67,Female,disloyal Customer,38,Business travel,Business,1856,1,1,1,3,4,1,4,4,5,2,4,4,4,4,78,74,0
68,Female,Loyal Customer,43,Business travel,Business,1865,1,1,1,1,5,5,5,5,5,5,5,5,5,3,0,0,1
69,Female,Loyal Customer,49,Business travel,Business,2146,4,4,4,4,2,5,4,4,4,4,4,5,4,4,0,0,1
70,Male,Loyal Customer,7,Business travel,Business,3099,3,2,2,2,3,3,3,3,2,3,3,4,3,3,43,29,0
71,Male,Loyal Customer,69,Personal Travel,Eco,2323,1,4,1,1,5,1,3,5,5,5,4,3,5,5,20,18,0
72,Male,Loyal Customer,49,Business travel,Eco,1216,4,2,2,2,4,4,4,4,1,3,3,3,4,4,0,0,1
73,Female,Loyal Customer,55,Business travel,Business,3126,2,4,4,4,5,3,3,2,2,2,2,4,2,4,15,8,0
74,Male,disloyal Customer,26,Business travel,Eco,1784,4,0,4,1,5,4,5,5,2,2,3,4,3,5,0,0,1
75,Male,Loyal Customer,18,Personal Travel,Eco,2419,2,5,2,4,3,2,3,3,3,3,5,4,4,3,2,0,0
76,Female,disloyal Customer,38,Business travel,Business,2439,5,5,5,1,4,5,4,4,5,3,5,4,4,4,4,0,1
77,Female,Loyal Customer,24,Business travel,Business,5532,0,0,0,4,2,2,4,2,3,2,4,4,3,2,52,43,1
78,Male,Loyal Customer,25,Personal Travel,Eco Plus,2113,3,3,3,2,5,3,5,5,2,5,3,2,2,5,21,11,0
79,Female,Loyal Customer,66,Personal Travel,Business,356,2,2,2,2,3,5,4,4,4,4,4,3,4,5,0,0,1
80,Male,Loyal Customer,50,Business travel,Business,3239,2,2,2,2,4,4,4,3,3,3,3,3,3,4,0,0,1
81,Male,Loyal Customer,52,Business travel,Business,3186,2,3,3,3,4,2,3,2,2,2,2,3,2,1,0,0,0
82,Female,Loyal Customer,42,Business travel,Eco,638,2,4,4,4,3,2,1,2,2,2,2,2,2,3,0,0,0
83,Male,Loyal Customer,38,Personal Travel,Business,441,3,4,2,1,2,5,4,5,5,2,4,4,5,4,1,13,0
84,Female,Loyal Customer,46,Business travel,Business,1670,2,2,2,2,4,4,5,5,5,5,5,3,5,4,0,0,1
85,Male,Loyal Customer,44,Business travel,Eco,1597,5,3,2,3,4,5,4,4,2,3,5,5,1,4,0,0,1
86,Male,disloyal Customer,45,Business travel,Eco,1902,4,1,3,3,2,3,2,2,4,4,2,3,2,2,14,0,0
87,Female,disloyal Customer,36,Business travel,Eco,1532,2,4,2,4,3,2,4,3,1,4,2,5,4,3,1,0,0
88,Female,disloyal Customer,30,Business travel,Business,2439,2,2,2,4,3,2,3,3,3,2,5,5,4,3,0,0,0
89,Male,disloyal Customer,26,Business travel,Business,2479,1,1,1,5,4,1,4,4,5,5,4,3,5,4,0,0,0
90,Female,Loyal Customer,32,Business travel,Business,4387,2,1,1,1,2,2,2,2,2,2,4,1,3,2,0,0,0
91,Male,disloyal Customer,20,Business travel,Business,2017,5,5,5,3,3,5,3,3,3,3,4,4,4,3,0,0,1
92,Female,Loyal Customer,55,Business travel,Eco,1119,4,3,3,3,1,3,4,4,4,4,4,5,4,4,2,1,1
93,Male,Loyal Customer,41,Business travel,Business,3258,3,3,3,3,3,4,5,5,5,5,5,4,5,5,12,5,1
94,Female,disloyal Customer,15,Business travel,Eco,1484,4,0,4,2,2,4,2,2,5,5,5,4,3,2,0,0,1
95,Male,Loyal Customer,35,Business travel,Business,1769,3,3,3,3,3,3,5,4,4,4,4,5,4,2,0,0,1
96,Female,disloyal Customer,26,Business travel,Business,1904,5,0,5,4,2,5,2,2,4,5,4,5,4,2,13,22,1
97,Female,disloyal Customer,35,Business travel,Business,1642,3,3,3,4,2,3,2,2,5,2,5,4,5,2,0,0,0
98,Male,Loyal Customer,55,Business travel,Eco,1761,4,4,4,4,4,4,4,4,4,1,3,4,4,4,0,3,0
99,Male,disloyal Customer,24,Business travel,Eco,1640,3,2,3,4,2,3,2,2,2,4,4,2,4,2,55,51,0
100,Female,disloyal Customer,20,Business travel,Eco,3002,3,4,4,2,1,4,1,1,2,4,1,2,4,1,0,0,0
101,Female,Loyal Customer,58,Business travel,Business,1049,2,2,2,2,4,4,5,5,5,5,5,5,5,3,107,102,1
102,Female,Loyal Customer,20,Personal Travel,Eco Plus,2018,4,4,5,4,4,4,1,5,5,5,5,4,5,2,42,24,1
103,Male,Loyal Customer,31,Personal Travel,Eco,1484,4,4,4,1,5,4,5,5,4,3,4,5,4,5,0,0,1
104,Male,Loyal Customer,44,Business travel,Eco,2612,5,2,5,5,5,5,5,5,5,5,5,3,3,5,9,0,1
105,Male,Loyal Customer,33,Business travel,Business,2374,4,4,4,4,3,3,3,3,4,5,4,4,5,3,0,0,1
106,Female,Loyal Customer,32,Business travel,Business,5396,5,5,5,5,3,4,4,3,4,3,5,3,5,3,1,0,1
107,Female,Loyal Customer,61,Business travel,Eco Plus,353,2,3,3,3,3,2,2,2,2,2,2,3,2,2,10,12,0
108,Male,Loyal Customer,31,Personal Travel,Eco,2958,2,3,2,3,1,2,1,1,2,2,4,4,3,1,2,0,0
109,Male,Loyal Customer,43,Personal Travel,Eco,2243,2,2,2,4,5,2,4,5,3,5,4,3,4,5,7,7,0
110,Female,Loyal Customer,64,Personal Travel,Eco,329,5,2,2,2,5,5,5,5,1,2,4,4,2,5,0,0,1
111,Female,Loyal Customer,35,Personal Travel,Eco,2054,1,1,1,1,5,5,5,5,5,5,5,5,5,5,0,0,1
112,Male,Loyal Customer,56,Business travel,Eco,1811,4,2,4,4,4,4,4,4,2,2,5,2,3,4,2,6,1
113,Male,Loyal Customer,55,Business travel,Eco,2400,5,4,4,4,5,5,5,5,2,2,5,5,4,5,4,28,1
114,Female,Loyal Customer,56,Business travel,Eco Plus,650,3,1,1,1,4,4,3,3,3,3,3,1,3,4,28,15,0
115,Female,Loyal Customer,62,Personal Travel,Eco,1264,4,4,3,4,5,4,5,4,4,4,4,4,4,5,0,0,1
116,Female,disloyal Customer,23,Business travel,Eco,2340,3,3,3,3,2,3,4,2,4,2,5,4,4,2,0,0,0
117,Female,disloyal Customer,36,Business travel,Business,1360,2,1,1,2,3,1,3,3,5,3,5,5,5,3,0,0,0
118,Male,Loyal Customer,39,Business travel,Business,425,2,2,5,5,1,3,3,2,2,2,2,1,2,1,3,0,0
119,Female,disloyal Customer,30,Business travel,Eco,1876,3,0,3,4,3,3,4,3,3,5,3,4,4,3,0,10,0
120,Male,Loyal Customer,56,Business travel,Business,1962,1,1,1,1,5,5,4,4,4,4,4,4,4,5,18,0,1
121,Female,Loyal Customer,21,Personal Travel,Eco,1737,1,1,4,1,2,5,5,4,4,4,4,3,4,3,0,12,1
122,Male,Loyal Customer,39,Business travel,Business,233,1,3,3,3,1,3,3,4,4,4,1,3,4,2,0,0,0
123,Female,disloyal Customer,25,Business travel,Business,2436,3,5,3,5,1,3,1,1,5,5,4,5,5,1,0,0,0
124,Female,Loyal Customer,45,Business travel,Business,711,1,1,1,1,5,5,5,4,4,4,4,3,4,4,0,0,1
125,Female,Loyal Customer,43,Business travel,Business,3947,1,1,1,1,4,4,4,5,5,5,5,5,5,5,0,0,1
126,Male,Loyal Customer,39,Business travel,Business,1676,2,2,2,2,3,5,4,5,5,5,5,5,5,5,0,3,1
127,Female,Loyal Customer,31,Business travel,Eco,2441,3,4,4,4,3,3,3,3,1,4,4,2,3,3,0,3,0
128,Male,Loyal Customer,51,Business travel,Eco,2291,4,2,2,2,4,4,4,4,3,4,3,4,5,4,18,10,1
129,Female,disloyal Customer,23,Business travel,Eco,2037,2,2,2,1,3,2,3,3,5,2,5,3,5,3,47,50,0
130,Female,Loyal Customer,36,Personal Travel,Eco,2291,3,5,4,2,1,4,4,1,2,5,1,4,1,1,0,0,0
131,Female,Loyal Customer,46,Business travel,Business,360,3,1,1,1,3,3,3,3,3,3,3,3,3,4,0,0,0
132,Female,Loyal Customer,44,Business travel,Business,2570,3,3,3,3,2,3,5,5,5,5,5,5,5,3,12,0,1
133,Female,Loyal Customer,38,Business travel,Business,798,2,2,2,2,4,4,3,2,2,2,2,2,2,4,51,53,0
134,Female,Loyal Customer,68,Personal Travel,Eco,1097,1,1,1,1,4,4,4,4,4,4,4,3,4,3,0,0,1
135,Female,Loyal Customer,54,Business travel,Business,3057,1,1,1,1,4,4,4,2,2,2,2,3,2,4,0,0,1
136,Male,Loyal Customer,53,Personal Travel,Eco,2494,3,4,3,4,4,3,4,4,1,2,4,4,3,4,0,0,0
137,Male,Loyal Customer,34,Personal Travel,Business,916,1,4,1,3,4,5,4,3,3,1,3,4,3,5,22,0,0
138,Female,Loyal Customer,29,Business travel,Business,4965,3,3,5,3,4,4,4,4,3,5,5,5,5,4,17,5,1
139,Male,disloyal Customer,38,Business travel,Eco,2318,2,2,2,5,4,2,4,4,4,5,4,1,4,4,16,5,0
140,Male,Loyal Customer,65,Personal Travel,Eco,1679,1,5,1,1,3,1,1,3,4,5,4,4,5,3,0,0,0
141,Female,disloyal Customer,28,Business travel,Eco,2094,1,2,2,5,2,2,1,2,3,3,1,1,1,2,2,8,0
142,Male,disloyal Customer,23,Business travel,Business,3268,4,0,5,2,5,4,4,5,3,4,5,4,5,4,136,116,1
143,Female,Loyal Customer,45,Business travel,Eco,754,4,2,2,2,1,1,2,4,4,4,4,1,4,5,0,0,1
144,Female,Loyal Customer,46,Personal Travel,Eco,635,3,3,3,3,3,4,4,5,5,5,5,3,5,3,58,43,1
145,Male,Loyal Customer,60,Business travel,Business,2227,3,3,3,3,4,4,4,4,4,4,4,3,4,5,1,0,1
146,Male,Loyal Customer,57,Business travel,Business,3140,2,4,4,4,2,2,2,2,4,3,2,2,3,2,158,159,0
147,Female,Loyal Customer,47,Personal Travel,Eco,2809,3,3,3,3,2,4,3,4,4,4,4,4,4,5,0,0,1
148,Male,disloyal Customer,22,Business travel,Eco,2460,4,4,4,3,1,4,1,1,1,5,4,4,3,1,0,0,0
149,Female,Loyal Customer,39,Business travel,Business,3488,1,1,1,1,2,4,3,1,1,2,1,3,1,2,0,0,0
150,Male,Loyal Customer,18,Personal Travel,Eco,1850,3,5,3,3,4,3,4,4,5,5,5,5,3,4,0,0,0
151,Male,Loyal Customer,12,Business travel,Business,2356,3,3,4,3,3,3,3,3,3,5,4,3,4,3,59,51,0
152,Female,disloyal Customer,80,Business travel,Business,893,1,1,1,4,3,4,4,3,3,1,5,4,3,2,19,0,0
153,Female,Loyal Customer,59,Business travel,Eco,369,3,5,5,5,2,4,4,3,3,3,3,1,3,4,9,25,0
154,Female,Loyal Customer,27,Personal Travel,Eco Plus,1940,4,5,4,3,5,4,4,5,1,4,2,4,5,5,0,5,0
155,Male,Loyal Customer,40,Business travel,Business,414,1,1,5,1,1,5,2,5,5,5,5,2,5,3,0,0,1
156,Female,Loyal Customer,17,Business travel,Eco Plus,3489,5,3,3,3,5,5,5,4,3,2,1,5,2,5,0,0,1
157,Male,Loyal Customer,45,Business travel,Business,963,4,4,4,4,3,5,5,4,4,4,4,3,4,3,48,60,1
158,Female,Loyal Customer,43,Business travel,Business,642,5,5,4,5,2,4,5,5,5,5,5,1,5,3,66,43,1
159,Female,disloyal Customer,38,Business travel,Eco,1339,3,0,3,2,4,3,4,4,3,3,3,4,3,4,0,0,0
160,Male,Loyal Customer,45,Business travel,Business,60,3,3,3,3,3,4,4,4,4,4,5,4,4,3,74,67,1
161,Male,Loyal Customer,52,Business travel,Business,2006,5,5,4,5,3,5,4,4,4,4,4,5,4,3,1,0,1
162,Male,Loyal Customer,59,Business travel,Business,606,3,3,3,3,1,4,3,5,5,5,5,5,5,1,0,3,1
163,Female,Loyal Customer,35,Business travel,Business,2674,2,3,1,3,5,2,3,2,2,2,2,2,2,4,45,35,0
164,Female,Loyal Customer,68,Personal Travel,Eco,998,1,1,5,1,5,5,4,2,2,3,2,5,2,5,34,36,1
165,Female,Loyal Customer,58,Personal Travel,Eco,640,1,1,1,1,4,4,5,4,4,4,4,4,4,4,0,0,1
166,Female,Loyal Customer,39,Business travel,Business,711,1,1,1,1,5,5,5,4,4,5,4,5,4,4,0,0,1
167,Female,Loyal Customer,40,Business travel,Business,510,1,4,4,4,2,4,3,1,1,2,1,1,1,1,0,0,0
168,Female,disloyal Customer,30,Business travel,Eco,2816,3,2,2,1,3,2,3,3,5,5,5,4,5,3,0,0,0
169,Male,Loyal Customer,43,Personal Travel,Eco,1748,1,4,1,3,4,1,4,4,4,4,4,4,4,4,2,0,0
170,Male,Loyal Customer,46,Personal Travel,Eco,2034,2,1,2,3,1,2,4,1,4,5,4,1,3,1,5,1,0
171,Female,disloyal Customer,46,Business travel,Eco,2046,3,2,2,3,1,3,1,1,4,4,3,4,3,1,0,8,0
172,Male,Loyal Customer,44,Business travel,Eco,4039,5,2,2,2,5,5,5,1,5,4,2,5,2,5,0,0,1
173,Female,Loyal Customer,34,Business travel,Eco,1500,4,2,2,2,4,4,4,4,3,2,4,2,3,4,0,0,0
174,Female,Loyal Customer,44,Business travel,Business,1369,5,4,5,5,3,3,1,5,5,5,5,2,5,2,0,0,1
175,Male,Loyal Customer,45,Personal Travel,Eco,2114,1,4,1,1,3,1,3,3,4,4,5,3,4,3,0,0,0
176,Female,Loyal Customer,23,Personal Travel,Business,3330,4,4,5,4,3,3,1,5,5,4,5,1,5,5,0,4,1
177,Male,disloyal Customer,23,Business travel,Eco,2310,5,0,5,3,5,5,5,5,3,2,4,3,5,5,1,0,1
178,Male,Loyal Customer,13,Business travel,Business,2820,1,1,1,1,4,4,4,4,4,5,5,4,4,4,22,66,1
179,Male,disloyal Customer,23,Business travel,Eco,2219,2,4,1,2,2,1,2,2,5,5,4,1,2,2,8,0,0
180,Female,Loyal Customer,32,Business travel,Eco,3192,0,0,0,4,3,0,2,3,1,1,4,2,2,3,0,0,1
181,Female,disloyal Customer,16,Business travel,Eco,1140,3,4,3,4,3,3,3,3,3,5,3,3,4,3,0,0,0
182,Female,disloyal Customer,24,Business travel,Business,1619,5,2,5,1,3,5,3,3,3,5,4,4,5,3,0,0,1
183,Female,Loyal Customer,47,Business travel,Eco,499,5,2,2,2,5,1,1,5,5,5,5,1,5,4,0,3,1
184,Male,Loyal Customer,39,Business travel,Business,1506,4,2,4,4,5,4,5,4,4,4,4,3,4,4,22,36,1
185,Male,Loyal Customer,48,Personal Travel,Eco,2072,3,5,3,5,1,3,1,1,4,5,4,3,4,1,5,5,0
186,Female,Loyal Customer,32,Business travel,Business,4198,4,4,4,4,4,4,5,4,3,2,5,4,5,4,16,14,1
187,Female,disloyal Customer,32,Business travel,Business,2006,3,4,4,1,5,4,5,5,4,3,4,4,5,5,0,0,0
188,Female,Loyal Customer,50,Personal Travel,Eco,2114,4,1,5,2,4,3,3,3,3,5,3,4,3,3,15,0,1
189,Male,Loyal Customer,80,Business travel,Business,2465,1,1,1,1,3,1,3,3,3,3,3,1,3,4,12,0,1
190,Female,Loyal Customer,48,Business travel,Business,1869,3,3,3,3,3,5,5,4,4,4,4,4,4,5,0,0,1
191,Female,Loyal Customer,49,Personal Travel,Eco Plus,75,2,2,2,2,3,4,5,4,4,4,4,5,4,4,0,0,1
192,Male,disloyal Customer,20,Personal Travel,Eco,2225,3,5,3,3,1,3,1,1,3,4,4,4,5,1,0,0,0
193,Male,Loyal Customer,47,Business travel,Business,2135,0,5,0,1,1,5,5,4,4,1,1,4,4,3,43,40,1
194,Male,Loyal Customer,14,Personal Travel,Eco,1688,4,3,4,2,3,4,3,3,3,4,3,4,3,3,0,0,0
195,Female,Loyal Customer,37,Business travel,Business,2435,3,3,3,3,3,3,2,5,5,5,5,5,5,1,0,0,1
196,Male,Loyal Customer,43,Personal Travel,Eco,1679,2,1,2,3,3,2,3,3,4,3,3,3,3,3,8,0,0
197,Male,Loyal Customer,28,Business travel,Business,2003,5,5,5,5,4,4,4,4,5,3,5,4,4,4,0,0,1
198,Female,Loyal Customer,18,Business travel,Business,3067,1,2,2,2,1,1,1,1,3,4,3,3,3,1,32,32,0
199,Female,Loyal Customer,13,Personal Travel,Eco,2613,3,3,3,3,3,4,5,5,5,5,5,5,5,5,20,14,1
200,Male,Loyal Customer,38,Business travel,Eco,2182,2,4,4,4,2,3,2,2,3,1,4,4,4,2,0,0,0
201,Female,disloyal Customer,49,Business travel,Business,2482,4,4,4,4,2,4,2,2,4,2,5,4,5,2,3,0,1
202,Female,Loyal Customer,60,Personal Travel,Business,478,3,5,4,3,5,5,4,1,1,4,1,4,1,3,9,5,0
203,Male,Loyal Customer,40,Business travel,Business,2125,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,0,1
204,Male,Loyal Customer,63,Personal Travel,Eco,2793,1,2,1,3,1,1,1,1,4,4,3,2,3,1,0,6,0
205,Male,Loyal Customer,43,Business travel,Business,296,4,4,4,4,3,4,4,5,5,5,5,3,5,5,0,0,1
206,Male,Loyal Customer,38,Business travel,Business,875,5,5,5,5,3,4,4,4,4,4,4,5,4,5,0,0,1
207,Male,Loyal Customer,30,Business travel,Business,2632,4,4,4,4,5,5,5,5,4,2,5,3,5,5,0,0,1
208,Female,Loyal Customer,44,Business travel,Business,5192,3,3,3,3,3,3,3,4,5,3,2,3,4,3,105,146,1
209,Male,Loyal Customer,55,Business travel,Business,1603,2,2,2,2,4,4,4,5,5,5,5,5,5,3,0,0,1
210,Male,Loyal Customer,15,Business travel,Eco Plus,2467,3,5,5,5,3,3,2,3,3,3,4,1,4,3,8,0,0
211,Male,Loyal Customer,25,Business travel,Business,2933,1,1,1,1,4,4,4,4,5,3,4,5,5,4,0,2,1
212,Male,disloyal Customer,38,Business travel,Business,1346,3,3,3,4,3,3,2,3,5,4,4,4,4,3,0,0,0
213,Male,Loyal Customer,55,Business travel,Eco,1800,4,5,5,5,4,4,4,4,3,3,3,3,4,4,5,0,0
214,Male,Loyal Customer,53,Business travel,Business,494,4,4,2,4,2,4,4,4,4,4,4,5,4,4,50,42,1
215,Female,Loyal Customer,38,Business travel,Business,1365,3,3,3,3,3,5,5,3,3,3,3,4,3,3,6,0,1
216,Female,Loyal Customer,43,Business travel,Business,1754,4,4,4,4,4,4,5,3,3,4,3,3,3,5,13,15,1
217,Male,Loyal Customer,77,Business travel,Business,2382,3,3,5,3,1,3,5,1,1,2,1,1,1,3,0,10,1
218,Female,Loyal Customer,28,Business travel,Business,2991,1,1,1,1,4,4,4,4,3,3,4,3,5,4,9,3,1
219,Female,Loyal Customer,51,Business travel,Business,4655,2,4,4,4,2,2,2,1,4,3,4,2,1,2,274,264,0
220,Male,Loyal Customer,33,Business travel,Business,4085,3,3,3,3,4,4,4,3,4,4,5,4,5,4,207,208,1
221,Female,Loyal Customer,23,Personal Travel,Eco,2608,5,5,5,5,4,4,4,4,3,5,4,4,5,4,0,0,1
222,Female,Loyal Customer,18,Business travel,Business,3266,3,1,1,1,3,3,3,3,4,2,3,2,3,3,0,15,0
223,Male,Loyal Customer,41,Business travel,Eco Plus,1791,5,1,2,2,5,5,5,5,3,5,4,2,5,5,0,4,1
224,Female,Loyal Customer,51,Business travel,Eco,496,2,5,5,5,1,3,4,2,2,2,2,3,2,2,8,0,0
